"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative Dm-DRA1 10440161 TO","10440160",0,0,21,0,0,0,21,100,0
"Putative Dm-DRA1 11896102 EK","11896101",0,18,0,0,0,0,18,100,0
"Putative Dm-DRA1 16766813 EK","16766812",0,0,16,0,0,0,16,100,0
"Putative Dm-DRA1 12106450 TO","12106449",16,0,0,0,0,0,16,100,0
"Putative Dm-DRA1 10247371 TO","10247370",5,10,0,0,0,0,15,100,0
"Putative Dm-DRA1 17156428 EK","17156427",0,0,14,0,0,0,14,100,0
"Putative Dm-DRA1 17155322 EK","17155321",0,0,13,0,0,0,13,100,0
"Putative Dm-DRA1 14065299 GS-EK","14065298",4,9,0,0,0,0,13,100,0
"Putative Dm-DRA1 10265807 TO EK","10265806",8,5,0,0,0,0,13,100,0
"Putative Dm-DRA1 11903983 GS","11903982",0,10,0,0,0,0,10,100,0
"Putative Dm-DRA1 11992844 EK","11992843",9,0,0,0,0,0,9,100,0
"Putative Dm-DRA1  11141230 GS","11141229",0,9,0,0,0,0,9,100,0
"Putative Dm-DRA1 13979722 EK","13979721",6,2,0,0,0,0,8,100,0
"Putative Dm-DRA1 11993799 EK","11993798",7,0,0,0,0,0,7,100,0
"Putative Dm-DRA1 11993077 EK","11993076",7,0,0,0,0,0,7,100,0
"Putative Dm-DRA1 13607721 EK","13607720",6,0,0,0,0,0,6,100,0
"Putative Dm-DRA1 11769715 TO EK","11769714",6,0,0,0,0,0,6,100,0
"Putative Dm-DRA1 17170764 EK","17170763",0,0,5,0,0,0,5,100,0
"Putative Dm-DRA1 15976818 EK","15976817",0,3,0,0,0,0,3,100,0
"Putative Dm-DRA1 11993696 EK","11993695",3,0,0,0,0,0,3,100,0
"Total","",77,66,69,0,0,0,212,100,0
